
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2016-08-03	66	27	11	9	67	2
2016-08-06	52	33	47	36	20	12
2016-08-10	64	56	61	23	67	12
2016-08-13	44	38	64	69	60	6
2016-08-17	44	49	33	50	52	8
2016-08-20	68	3	21	6	60	24
2016-08-24	25	11	9	65	64	16
2016-08-27	48	32	63	4	49	20
2016-08-31	10	56	24	61	5	12
2016-09-03	39	59	7	67	50	25
2016-09-07	23	55	33	22	29	21
2016-09-10	3	17	49	68	55	8
2016-09-14	10	31	23	28	11	14
2016-09-17	51	19	9	62	55	14
2016-09-21	63	67	1	69	28	17
2016-09-24	15	7	29	41	20	22
2016-09-28	30	53	62	38	52	1
2016-10-01	12	64	50	61	2	1
2016-10-05	60	29	18	27	8	15
2016-10-08	3	64	68	61	54	9
2016-10-12	34	44	30	16	37	16
2016-10-15	64	49	57	23	67	20
2016-10-19	43	63	16	38	10	23
2016-10-22	1	55	33	28	56	22
2016-10-26	48	56	2	16	3	24
2016-10-29	42	48	20	21	19	23
2016-11-02	18	54	61	13	37	5
2016-11-05	31	50	69	21	51	8
2016-11-09	28	31	54	25	1	2
2016-11-12	20	8	27	52	17	24
2016-11-16	28	61	63	41	65	7
2016-11-19	24	61	43	16	28	21
2016-11-23	7	61	41	47	32	3
2016-11-26	21	17	37	44	19	16
2016-11-30	3	45	25	14	18	7
2016-12-03	27	26	33	8	10	22
2016-12-07	49	64	48	41	53	20
2016-12-10	32	21	12	44	66	15
2016-12-14	39	18	66	37	26	15
2016-12-17	16	40	8	48	1	10
2016-12-21	25	68	40	54	33	3
2016-12-24	38	52	42	51	28	21
2016-12-28	30	23	44	58	16	4
2016-12-31	1	28	3	67	57	9
2017-01-04	17	16	42	41	29	4
2017-01-07	37	63	12	24	3	10
2017-01-11	1	16	13	43	3	24
2017-01-14	55	69	23	64	59	13
2017-01-18	41	9	58	40	53	12
2017-01-21	45	25	23	67	52	2
2017-01-25	18	62	66	68	28	22
2017-01-28	39	12	49	69	20	17
2017-02-01	9	60	64	43	57	10
2017-02-04	52	17	16	13	6	25
2017-02-08	49	20	42	14	66	5
2017-02-11	37	64	17	9	5	2
2017-02-15	33	5	42	38	28	19
2017-02-18	9	3	33	7	31	20
2017-02-22	52	10	61	28	13	2
2017-02-25	6	62	32	47	65	19
2017-03-01	16	10	52	40	55	17
2017-03-04	2	22	63	19	18	19
2017-03-08	42	23	59	46	33	4
2017-03-11	57	41	50	26	1	11
2017-03-15	30	16	41	48	53	16
2017-03-18	25	67	54	44	13	5
2017-03-22	2	29	9	27	42	9
2017-03-25	32	18	31	48	45	16
2017-03-29	8	62	31	36	15	11
2017-04-01	65	9	44	36	32	1
2017-04-05	53	20	54	46	8	13
2017-04-08	51	53	36	23	60	15
2017-04-12	68	63	14	8	61	24
2017-04-15	61	26	45	5	22	13
2017-04-19	1	19	52	40	37	15
2017-04-22	39	21	48	41	63	6
2017-04-26	18	1	51	15	26	26
2017-04-29	24	22	23	62	45	5
2017-05-03	18	49	66	17	59	9
2017-05-06	31	21	11	41	59	21
2017-05-10	62	31	56	46	29	8
2017-05-13	68	17	20	63	32	19
2017-05-17	39	4	48	45	11	9
2017-05-20	45	5	47	54	22	3
2017-05-24	38	28	33	32	62	15
2017-05-27	55	10	5	67	28	9
2017-05-31	60	39	33	4	46	6
2017-06-03	54	41	9	3	21	25
2017-06-07	66	57	5	69	21	13
2017-06-10	32	26	20	38	58	3
2017-06-14	63	22	5	43	57	24
2017-06-17	13	62	10	53	32	21
